Date Time,Event,Ticker,Expected,Actual,Surprise,Prior
03/26/21 12:30,PCE Price Index MoM,PCE_MoM,0.30%,0.20%,-1.5,0.30%
04/02/2021 13:30,Unemployment Rate,UNRATE,6.00%,6.00%,0,6.20%
04/13/21 13:30,CPI MoM,CPI_MoM,0.50%,0.60%,1.36,0.40%
04/28/21 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
04/29/21 13:30,GDP Annualized QoQ,GDP_QoQ,6.70%,6.40%,-0.21,4.30%
04/30/21 13:30,PCE Price Index MoM,PCE_MoM,0.50%,0.50%,0,0.20%
05/07/2021 13:30,Unemployment Rate,UNRATE,5.80%,6.10%,2.37,6.00%
05/12/2021 13:30,CPI MoM,CPI_MoM,0.20%,0.80%,7.17,0.60%
05/27/21 13:30,GDP Annualized QoQ,GDP_QoQ,6.50%,6.40%,-0.67,6.40%
05/28/21 13:30,PCE Price Index MoM,PCE_MoM,0.60%,0.60%,0,0.50%
06/04/2021 13:30,Unemployment Rate,UNRATE,5.90%,5.80%,-1.52,6.10%
06/10/2021 13:30,CPI MoM,CPI_MoM,0.50%,0.60%,1.11,0.80%
06/16/21 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
06/24/21 13:30,GDP Annualized QoQ,GDP_QoQ,6.40%,6.40%,0,6.40%
06/25/21 13:30,PCE Price Index MoM,PCE_MoM,0.50%,0.40%,-1.7,0.60%
07/02/2021 13:30,Unemployment Rate,UNRATE,5.60%,5.90%,3.93,5.80%
07/13/21 13:30,CPI MoM,CPI_MoM,0.50%,0.90%,4.03,0.60%
07/28/21 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
07/29/21 13:30,GDP Annualized QoQ,GDP_QoQ,8.40%,6.50%,-1.99,6.40%
07/30/21 13:30,PCE Price Index MoM,PCE_MoM,0.60%,0.50%,-0.91,0.40%
08/06/2021 13:30,Unemployment Rate,UNRATE,5.70%,5.40%,-3.6,5.90%
08/11/2021 13:30,CPI MoM,CPI_MoM,0.50%,0.50%,0,0.90%
08/26/21 13:30,GDP Annualized QoQ,GDP_QoQ,6.70%,6.60%,-0.45,6.50%
08/27/21 13:30,PCE Price Index MoM,PCE_MoM,0.40%,0.40%,0,0.50%
